grid_id,lat,lon
191076,22.62759453,114.0545288
191092,22.62900454,114.1322794
191093,22.62909142,114.1371391
191095,22.62926473,114.1468584
191151,22.63387883,114.4190364
191902,22.6315669,114.0252767
191903,22.63165703,114.030136
191904,22.63174701,114.0349952
191910,22.63228381,114.0641514
191925,22.63360268,114.1370455
191926,22.63368943,114.1419053
191927,22.63377603,114.1467652
192733,22.63598742,114.0203202
192735,22.63616786,114.0300389
192736,22.63625786,114.0348984
192738,22.63643742,114.0446173
192739,22.63652698,114.0494768
192742,22.63679478,114.0640555
193564,22.64040775,114.0153633
193565,22.64049821,114.0202228
193566,22.64058852,114.0250823
193567,22.64067869,114.0299419
193568,22.64076871,114.0348015
193573,22.64121662,114.0590998
193574,22.64130575,114.0639595
193575,22.64139475,114.0688193
193599,22.64348647,114.1854607
193600,22.64357179,114.1903211
194396,22.64491852,114.0152657
194397,22.645009,114.0201254
194400,22.64527956,114.0347046
194401,22.64536946,114.0395643
194408,22.6459946,114.0735834
194431,22.64799792,114.1853687
194432,22.64808325,114.1902292
194434,22.64825349,114.1999503
194435,22.64833838,114.2048109
195227,22.64933863,114.0103084
195233,22.64988032,114.0394676
195263,22.65250936,114.1852767
195264,22.65259472,114.1901373
195265,22.65267993,114.194998
195266,22.65276499,114.1998587
195267,22.6528499,114.2047195
195268,22.65293467,114.2095803
196063,22.65421117,114.0296506
196064,22.65430125,114.0345107
196065,22.65439118,114.0393708
196068,22.6546601,114.0539512
196098,22.65727649,114.1997672
171085,22.51724951,113.9451619
186051,22.59750599,113.894796
167757,22.4992073,113.9455585
170277,22.5149089,114.0617813
172747,22.52608585,113.935253
172748,22.5261783,113.9401082
178595,22.55984105,114.0511121
180264,22.56930709,114.0752061
181104,22.57452128,114.113971
178636,22.56337319,114.2502623
187751,22.60981776,114.0694892
166082,22.48916466,113.8923651
166083,22.48925825,113.8972187
167746,22.49818532,113.8921634
167747,22.49827896,113.8970174
168579,22.50278931,113.8969167
168580,22.50288282,113.9017709
171111,22.519597,114.0713969
171944,22.5241964,114.0761574
172776,22.52870748,114.0760624
173583,22.53096534,113.9545748
174410,22.53501421,113.9301984
174432,22.53701839,114.0370237
175242,22.53952468,113.9300986
175243,22.53961734,113.9349542
175253,22.54053584,113.9835115
175254,22.54062688,113.9883673
175256,22.54080854,113.9980791
176083,22.54486396,113.9737014
176084,22.54495532,113.9785574
176108,22.54710406,114.0951082
176118,22.54797449,114.1436751
176913,22.54919141,113.9638907
176915,22.54937461,113.9736029
176920,22.54983004,113.9978838
176950,22.55248583,114.1435822
176951,22.55257209,114.1484392
176952,22.5526582,114.1532962
177763,22.55533009,114.0512081
177764,22.55541915,114.0560648
177780,22.55682417,114.133775
177783,22.55708345,114.1483464
177784,22.55716958,114.1532036
177799,22.55844397,114.2260639
178584,22.55885153,113.9976885
178615,22.5615948,114.1482536
178617,22.56176695,114.1579682
178618,22.56185281,114.1628256
178623,22.5622799,114.1871128
178625,22.56244971,114.1968279
178633,22.56312309,114.235689
179414,22.56318042,113.9878773
179415,22.56327142,113.992734
179431,22.56470752,114.0704443
179432,22.56479604,114.0753014
179443,22.56576001,114.128731
179444,22.56584676,114.1335884
179446,22.56601983,114.1433033
179447,22.56610615,114.1481607
179451,22.56644994,114.1675908
